Operon,GeneName,Locus Name,GI,Strand,Pos. Left(pb),PosRight,Position
35,leuD,b0071,16128065,-1,78848,79453,4
36,leuL,b0075,16128069,-1,83622,83708,1
37,leuO,b0076,90111083,1,84368,85312,1
38,ilvI,b0077,90111084,1,85630,87354,1
38,ilvH,b0078,16128071,1,87357,87848,2
39,fruR,b0080,16128073,1,88028,89032,1
40,mraZ,b0081,16128074,1,89634,90092,1
40,rsmH,b0082,16128075,1,90094,91035,2
40,ftsL,b0083,16128076,1,91032,91397,3
40,ftsI,b0084,16128077,1,91413,93179,4
40,murE,b0085,16128078,1,93166,94653,5
40,murF,b0086,16128079,1,94650,96008,6
40,mraY,b0087,16128080,1,96002,97084,7
40,murD,b0088,16128081,1,97087,98403,8
40,ftsW,b0089,16128082,1,98403,99647,9
40,murG,b0090,16128083,1,99644,100711,10
40,murC,b0091,16128084,1,100765,102240,11
40,ddlB,b0092,16128085,1,102233,103153,12
40,ftsQ,b0093,16128086,1,103155,103985,13
40,ftsA,b0094,16128087,1,103982,105244,14
40,ftsZ,b0095,16128088,1,105305,106456,15
40,lpxC,b0096,16128089,1,106557,107474,16
41,secM,b0097,90111085,1,107705,108217,1
41,secA,b0098,16128091,1,108279,110984,2
41,mutT,b0099,16128092,1,111044,111433,3
42,coaE,b0103,16128096,-1,112599,113219,1
42,yacF,b0102,16128095,-1,111856,112599,2
42,yacG,b0101,16128094,-1,111649,111846,3
43,guaC,b0104,16128097,1,113444,114487,1
44,ppdD,b0108,16128101,-1,117109,117549,1
44,hofB,b0107,16128100,-1,115714,117099,2
44,hofC,b0106,16128099,-1,114522,115724,3
45,nadC,b0109,16128102,-1,117752,118645,1
46,ampD,b0110,16128103,1,118733,119284,1
46,ampE,b0111,16128104,1,119281,120135,2
47,aroP,b0112,16128105,-1,120178,121551,1
48,pdhR,b0113,16128106,1,122092,122856,1
48,aceE,b0114,16128107,1,123017,125680,2
48,aceF,b0115,16128108,1,125695,127587,3
48,lpd,b0116,16128109,1,127912,129336,4
49,yacH,b0117,16128110,-1,129407,131260,1
50,acnB,b0118,16128111,1,131615,134212,1
51,yacL,b0119,90111086,1,134388,134750,1
52,speE,b0121,16128114,-1,135598,136464,1
52,speD,b0120,16128113,-1,134788,135582,2
53,yacC,b0122,90111087,-1,136570,136917,1
54,cueO,b0123,16128116,1,137083,138633,1
55,gcd,b0124,16128117,-1,138835,141225,1
56,hpt,b0125,90111088,1,141431,141967,1
57,can,b0126,16128119,-1,142008,142670,1
58,yadG,b0127,16128120,1,142779,143705,1
58,yadH,b0128,16128121,1,143702,144472,2
59,yadI,b0129,16128122,1,144577,145017,1
59,yadE,b0130,16128123,1,145081,146310,2
60,panD,b0131,16128124,-1,146314,146694,1
61,yadD,b0132,16128125,1,146968,147870,1
62,panB,b0134,16128127,-1,148807,149601,1
62,panC,b0133,16128126,-1,147944,148795,2
63,yadN,b0141,16128134,-1,156299,156883,1
63,ecpD,b0140,16128133,-1,155461,156201,2
63,htrE,b0139,16128132,-1,152829,155426,3
63,yadM,b0138,90111089,-1,152243,152812,4
63,yadL,b0137,16128130,-1,151626,152231,5
63,yadK,b0136,16128129,-1,151003,151599,6
63,yadC,b0135,16128128,-1,149715,150953,7
64,dksA,b0145,16128138,-1,160149,160604,1
64,yadB,b0144,226524698,-1,159186,160112,2
64,pcnB,b0143,162135892,-1,157729,159126,3
64,folK,b0142,16128135,-1,157253,157732,4
65,ligT,b0147,90111091,-1,161501,162031,1
65,sfsA,b0146,16128139,-1,160782,161486,2
66,hrpB,b0148,162135893,1,162105,164534,1
67,mrcB,b0149,16128142,1,164730,167264,1
68,fhuA,b0150,16128143,1,167484,169727,1
68,fhuC,b0151,16128144,1,169778,170575,2
68,fhuD,b0152,16128145,1,170575,171465,3
68,fhuB,b0153,16128146,1,171462,173444,4
69,hemL,b0154,16128147,-1,173602,174882,1
70,clcA,b0155,16128148,1,175107,176528,1
70,erpA,b0156,16128149,1,176610,176954,2
71,mtn,b0159,16128152,-1,178455,179153,1
71,btuF,b0158,16128151,-1,177662,178462,2
71,yadS,b0157,16128150,-1,177001,177624,3
72,dgt,b0160,16128153,1,179237,180754,1
73,degP,b0161,16128154,1,180884,182308,1
74,cdaR,b0162,90111093,1,182463,183620,1
75,yaeH,b0163,16128156,-1,183709,184095,1
76,map,b0168,16128161,-1,188712,189506,1
76,glnD,b0167,16128160,-1,185978,188650,2
76,dapD,b0166,16128159,-1,185123,185947,3
76,yaeI,b0164,90111094,-1,184257,185069,4
77,ispU,b0174,16128167,1,194903,195664,1
77,cdsA,b0175,90111095,1,195677,196534,2
77,rseP,b0176,16128169,1,196546,197898,3
77,bamA,b0177,16128170,1,197928,200360,4
77,skp,b0178,16128171,1,200482,200967,5
77,lpxD,b0179,16128172,1,200971,201996,6
77,fabZ,b0180,16128173,1,202101,202556,7
77,lpxA,b0181,16128174,1,202560,203348,8
77,lpxB,b0182,16128175,1,203348,204496,9
77,rnhB,b0183,16128176,1,204493,205089,10
77,dnaE,b0184,16128177,1,205126,208608,11
77,accA,b0185,16128178,1,208621,209580,12
78,ldcC,b0186,16128179,1,209679,211820,1
78,yaeR,b0187,90111096,1,211877,212266,2
79,tilS,b0188,16128181,1,212331,213629,1
80,yaeQ,b0190,16128183,1,214291,214836,1
80,yaeJ,b0191,16128184,1,214833,215255,2
80,nlpE,b0192,16128185,1,215269,215979,3
81,yaeF,b0193,90111098,-1,216179,217003,1
82,proS,b0194,16128187,-1,217057,218775,1
83,yaeB,b0195,16128188,-1,218887,219594,1
84,rcsF,b0196,16128189,-1,219591,219995,1
85,metN,b0199,16128192,-1,221614,222645,1
85,metI,b0198,16128191,-1,220968,221621,2
85,metQ,b0197,16128190,-1,220113,220928,3
86,gmhB,b0200,16128193,1,222833,223408,1
87,rrsH,b0201,,1,223771,225312,1
88,ileV,b0202,,1,225381,225457,1
88,alaV,b0203,,1,225500,225575,2
89,rrlH,b0204,,1,225759,228662,1
90,rrfH,b0205,,1,228756,228875,1
90,aspU,b0206,,1,228928,229004,2
91,dkgB,b0207,16128194,1,229167,229970,1
92,yafC,b0208,16128195,-1,229967,230881,1
93,yafD,b0209,16128196,1,231122,231922,1
93,yafE,b0210,16128197,1,231926,232549,2
94,gloB,b0212,16128199,-1,234027,234782,1
94,mltD,b0211,16128198,-1,232597,233955,2
95,yafS,b0213,90111099,1,234816,235538,1
96,rnhA,b0214,16128201,-1,235535,236002,1
97,dnaQ,b0215,16128202,1,236067,236798,1
98,aspV,b0216,,1,236931,237007,1
99,yafT,b0217,16128203,1,237335,238120,1
100,yafV,b0219,16128205,-1,239419,240189,1
101,ivy,b0220,16128206,1,240343,240816,1
102,fadE,b0221,90111100,-1,240859,243303,1
103,lpcA,b0222,16128208,1,243543,244121,1
104,yafJ,b0223,16128209,1,244327,245094,1
105,yafK,b0224,16128210,-1,245065,245805,1
106,dinJ,b0226,16128212,-1,246242,246502,1
106,yafQ,b0225,16128211,-1,245961,246239,2
107,yafL,b0227,16128213,1,246712,247461,1
108,yafM,b0228,16128214,1,247637,248134,1
109,dinB,b0231,16128217,1,250898,251953,1
109,yafN,b0232,16128218,1,252005,252298,2
109,yafO,b0233,16128219,1,252301,252699,3
109,yafP,b0234,16128220,1,252709,253161,4
110,pepD,b0237,16128223,-1,254259,255716,1
111,gpt,b0238,16128224,1,255977,256435,1
112,frsA,b0239,16128225,1,256527,257771,1
112,crl,b0240,16128226,1,257829,258230,2
113,phoE,b0241,16128227,-1,258269,259324,1
114,proB,b0242,16128228,1,259612,260715,1
114,proA,b0243,16128229,1,260727,261980,2
115,thrW,b0244,,1,262095,262170,1
116,yafX,b0248,16128233,-1,263972,264430,1
116,ykfG,b0247,16128232,-1,263480,263956,2
116,ykfH,b4504,94541094,-1,263250,263471,3
116,yafW,b0246,16128231,-1,262914,263231,4
116,ykfI,b0245,16128230,-1,262552,262893,5
117,ykfF,b0249,16128234,-1,264528,264767,1
118,yafY,b0251,145698221,-1,265334,265777,1
118,ykfB,b0250,16128235,-1,264844,265311,2
119,yafZ,b0252,90111102,-1,266408,267229,1
120,ykfA,b0253,90111103,-1,267321,268184,1
121,perR,b0254,16128239,-1,268513,269406,1
122,insI,b0256,16128241,1,269827,270978,1
123,insH,b0259,16128244,-1,273325,274341,1
124,mmuP,b0260,90111105,1,274549,275952,1
124,mmuM,b0261,16128246,1,275939,276871,2
125,afuC,b0262,90111106,-1,276980,278026,1
126,insA,b0265,16128250,-1,278824,279099,1
126,insB,b0264,16128249,-1,278402,278905,2
127,yagA,b0267,16128252,-1,280053,281207,1
128,yagE,b0268,16128253,1,281481,282410,1
128,yagF,b0269,16128254,1,282425,284392,2
129,yagG,b0270,16128255,1,284619,286001,1
129,yagH,b0271,16128256,1,286013,287623,2
130,argF,b0273,16128258,-1,288525,289529,1
130,yagI,b0272,16128257,-1,287628,288386,2
131,insA,b0275,16128260,-1,290295,290570,1
131,insB,b0274,16128259,-1,289873,290376,2
132,yagK,b0277,16128262,-1,291546,292172,1
133,yagM,b0279,16128264,-1,293169,294023,1
133,yagL,b0278,16128263,-1,292444,293142,2
134,yagN,b0280,16128265,-1,294363,294803,1
135,intF,b0281,16128266,-1,294920,296320,1
136,paoA,b0286,16128271,-1,301108,301797,1
136,paoB,b0285,16128270,-1,300155,301111,2
136,paoC,b0284,16128269,-1,297960,300158,3
136,paoD,b0283,16128268,-1,296994,297950,4
137,yagU,b0287,16128272,1,302215,302829,1
138,ykgJ,b0288,16128273,-1,303077,303406,1
139,matB,b0293,16128278,-1,309308,309895,1
139,matC,b0292,16128277,-1,308582,309250,2
139,yagX,b0291,16128276,-1,306031,308556,3
139,yagW,b0290,16128275,-1,304398,306041,4
139,yagV,b0289,90111108,-1,303719,304429,5
140,matA,b0294,16128279,-1,309970,310560,1
141,ykgL,b0295,16128280,1,311336,311563,1
142,ykgM,b0296,16128281,-1,311738,312001,1
142,ykgO,b4506,94541137,-1,311598,311738,2
143,insE,b0298,226524700,1,314515,314814,1
143,insF,b0299,16128284,1,314811,315677,2
144,ykgI,b0303,90111111,-1,317555,317791,1
144,ykgB,b0301,90111110,-1,316950,317543,2
145,ykgC,b0304,90111112,-1,317900,319225,1
146,ykgD,b0305,16128290,1,319451,320305,1
147,ykgE,b0306,16128291,1,320832,321551,1
147,ykgF,b0307,16128292,1,321562,322989,2
147,ykgG,b0308,90111113,1,322982,323677,3
148,ykgH,b0310,16128295,-1,323920,324588,1
149,betI,b0313,49176011,-1,327971,328558,1
149,betB,b0312,16128297,-1,326485,327957,2
149,betA,b0311,16128296,-1,324801,326471,3
150,betT,b0314,16128299,1,328687,330720,1
151,yahA,b0315,16128300,1,331595,332683,1
152,yahB,b0316,16128301,-1,332725,333657,1
153,yahC,b0317,16128302,-1,333749,334246,1
154,yahD,b0318,16128303,1,334504,335109,1
154,yahE,b0319,16128304,1,335149,336012,2
154,yahF,b0320,16128305,1,336002,337549,3
154,yahG,b0321,16128306,1,337549,338967,4
155,yahI,b0323,16128308,1,339389,340339,1
155,yahJ,b0324,16128309,1,340349,341731,2
156,yahK,b0325,16128310,1,342108,343157,1
157,yahL,b0326,16128311,1,343400,344215,1
158,yahM,b0327,90111114,1,344628,344873,1
159,yahN,b0328,16128313,-1,344890,345561,1
160,yahO,b0329,16128314,1,345708,345983,1
161,prpR,b0330,16128315,-1,346081,347667,1
162,prpB,b0331,16128316,1,347906,348796,1
163,prpC,b0333,16128318,1,349236,350405,1
163,prpD,b0334,16128319,1,350439,351890,2
163,prpE,b0335,16128320,1,351930,353816,3
164,codB,b0336,16128321,1,354146,355405,1
164,codA,b0337,16128322,1,355395,356678,2
165,cynR,b0338,157783149,-1,357015,357914,1
166,cynT,b0339,16128324,1,358023,358682,1
166,cynS,b0340,16128325,1,358713,359183,2
166,cynX,b0341,16128326,1,359216,360370,3
167,mhpR,b0346,145698223,-1,366811,367644,1
167,lacI,b0345,49176012,-1,365652,366734,2
167,lacZ,b0344,16128329,-1,362455,365529,3
167,lacY,b0343,16128328,-1,361150,362403,4
167,lacA,b0342,16128327,-1,360473,361084,5
168,mhpA,b0347,16128332,1,367835,369499,1
168,mhpB,b0348,16128333,1,369501,370445,2
168,mhpC,b0349,90111115,1,370448,371329,3
168,mhpD,b0350,90111116,1,371339,372148,4
168,mhpF,b0351,16128336,1,372145,373095,5
168,mhpE,b0352,16128337,1,373092,374105,6
169,mhpT,b0353,90111117,1,374683,375894,1
170,yaiL,b0354,90111118,1,375996,376535,1
171,frmR,b0357,162135894,-1,378830,379105,1
171,frmA,b0356,16128341,-1,377686,378795,2
171,frmB,b0355,16128340,-1,376759,377592,3
172,yaiO,b0358,16128343,-1,379293,380066,1
173,insC,b0360,145698224,1,380575,380940,1
173,insD,b0361,16128346,1,380898,381803,2
174,yaiP,b0363,16128348,-1,381963,383159,1
175,yaiS,b0364,90111121,-1,383283,383840,1
176,tauA,b0365,90111122,1,384456,385418,1
176,tauB,b0366,16128351,1,385431,386198,2
176,tauC,b0367,16128352,1,386195,387022,3
176,tauD,b0368,16128353,1,387019,387870,4
177,hemB,b0369,90111123,-1,387977,388951,1
178,insE,b0373,226524701,-1,391826,392125,1
178,insF,b0372,16128357,-1,390963,391829,2
179,yaiV,b0375,226524702,1,393730,394353,1
180,ampH,b0376,16128361,-1,394354,395511,1
181,sbmA,b0377,16128362,1,395863,397083,1
181,yaiW,b0378,16128363,1,397096,398190,2
182,yaiY,b0379,16128364,-1,398249,398557,1
183,yaiZ,b0380,90111125,1,398817,399029,1
184,ddlA,b0381,16128366,-1,399053,400147,1
185,iraP,b0382,16128367,1,400610,400870,1
186,phoA,b0383,49176017,1,400971,402386,1
187,psiF,b0384,162135895,1,402505,402825,1
188,adrA,b0385,16128370,1,402927,404042,1
189,proC,b0386,16128371,-1,404059,404868,1
190,yaiI,b0387,90111127,1,404988,405446,1
191,aroL,b0388,16128373,1,405629,406153,1
191,yaiA,b0389,16128374,1,406203,406394,2
192,aroM,b0390,16128375,1,406652,407329,1
193,yaiE,b0391,16128376,1,407401,407685,1
194,rdgC,b0393,16128378,-1,408332,409243,1
195,mak,b0394,90111128,1,409368,410276,1
196,araJ,b0396,49176018,-1,410521,411705,1
197,sbcD,b0398,16128383,-1,414974,416176,1
197,sbcC,b0397,16128382,-1,411831,414977,2
198,phoB,b0399,16128384,1,416366,417055,1
198,phoR,b0400,16128385,1,417113,418408,2
199,brnQ,b0401,16128386,1,418815,420134,1
200,proY,b0402,16128387,1,420210,421583,1
201,malZ,b0403,16128388,1,421739,423556,1
202,acpH,b0404,16128389,-1,423561,424142,1
203,queA,b0405,16128390,1,424235,425305,1
203,tgt,b0406,16128391,1,425361,426488,2
203,yajC,b0407,16128392,1,426511,426843,3
203,secD,b0408,16128393,1,426871,428718,4
203,secF,b0409,16128394,1,428729,429700,5
204,yajD,b0410,16128395,1,429829,430176,1
205,tsx,b0411,16128396,-1,430353,431237,1
206,yajI,b0412,90111129,-1,431536,432075,1
207,nrdR,b0413,16128398,1,432226,432675,1
207,ribD,b0414,16128399,1,432679,433782,2
207,ribE,b0415,16128400,1,433871,434341,3
207,nusB,b0416,16128401,1,434361,434780,4
207,thiL,b0417,16128402,1,434858,435835,5
207,pgpA,b0418,16128403,1,435813,436331,6
208,yajO,b0419,90111130,-1,436385,437359,1
209,xseB,b0422,16128407,-1,440325,440567,1
209,ispA,b0421,16128406,-1,439426,440325,2
209,dxs,b0420,16128405,-1,437539,439401,3
210,thiI,b0423,16128408,1,440773,442221,1
211,panE,b0425,16128410,-1,442828,443739,1
211,yajL,b0424,90111131,-1,442275,442865,2
212,yajQ,b0426,90111132,1,443907,444398,1
213,yajR,b0427,90111133,-1,444526,445890,1
214,cyoA,b0432,16128417,-1,449887,450834,1
214,cyoB,b0431,16128416,-1,447874,449865,2
214,cyoC,b0430,16128415,-1,447270,447884,3
214,cyoD,b0429,16128414,-1,446941,447270,4
214,cyoE,b0428,16128413,-1,446039,446929,5
215,yajG,b0434,90111134,-1,452813,453391,1
215,ampG,b0433,16128418,-1,451294,452769,2
216,bolA,b0435,90111135,1,453696,454013,1
217,tig,b0436,16128421,1,454357,455655,1
217,clpP,b0437,16128422,1,455901,456524,2
217,clpX,b0438,16128423,1,456650,457924,3
217,lon,b0439,16128424,1,458112,460466,4
218,hupB,b0440,16128425,1,460675,460947,1
219,ppiD,b0441,16128426,1,461139,463010,1
220,ybaV,b0442,16128427,1,463161,463532,1
221,fadM,b0443,16128428,1,463626,464024,1
222,queC,b0444,16128429,-1,464076,464771,1
223,ybaE,b0445,16128430,-1,464836,466536,1
224,cof,b0446,90111136,1,466636,467454,1
225,ybaO,b0447,90111137,1,467607,468065,1
225,mdlA,b0448,16128433,1,468095,469867,2
225,mdlB,b0449,16128434,1,469860,471641,3
226,glnK,b0450,16128435,1,471822,472160,1
226,amtB,b0451,16128436,1,472190,473476,2
227,tesB,b0452,16128437,-1,473525,474385,1
228,ybaY,b0453,49176025,1,474603,475175,1
229,ybaZ,b0454,16128439,-1,475206,475595,1
230,ffs,b0455,,1,475672,475785,1
231,ybaA,b0456,16128440,1,475896,476249,1
232,ylaB,b0457,90111138,-1,476291,477841,1
233,ylaC,b0458,90111139,-1,478005,478475,1
234,maa,b0459,16128443,-1,478591,479142,1
235,tomB,b0461,16128445,-1,479558,479932,1
235,hha,b0460,16128444,-1,479314,479532,2
236,acrA,b0463,16128447,-1,483650,484843,1
236,acrB,b0462,16128446,-1,480478,483627,2
237,acrR,b0464,16128448,1,484985,485632,1
238,kefA,b0465,16128449,1,485760,489122,1
239,priC,b0467,16128451,-1,489509,490036,1
239,ybaM,b0466,16128450,-1,489334,489495,2
240,ybaN,b0468,16128452,1,490106,490483,1
241,apt,b0469,16128453,1,490636,491187,1
241,dnaX,b0470,16128454,1,491316,493247,2
241,ybaB,b0471,16128455,1,493300,493629,3
241,recR,b0472,16128456,1,493629,494234,4
241,htpG,b0473,16128457,1,494344,496218,5
242,adk,b0474,16128458,1,496399,497043,1
243,hemH,b0475,16128459,1,497279,498241,1
244,aes,b0476,16128460,-1,498238,499197,1
245,gsk,b0477,16128461,1,499349,500653,1
246,ybaL,b0478,16128462,-1,500786,502462,1
247,fsr,b0479,16128463,-1,502700,503920,1
248,ushA,b0480,16128464,1,504138,505790,1
249,ybaK,b0481,16128465,-1,505827,506306,1
250,ybaP,b0482,16128466,-1,506510,507304,1
251,ybaQ,b0483,90111140,1,507442,507783,1
252,copA,b0484,16128468,-1,508099,510603,1
253,ybaS,b0485,16128469,1,510865,511797,1
253,ybaT,b0486,16128470,1,511800,513092,2
254,cueR,b0487,16128471,1,513217,513624,1
255,qmcA,b0489,16128473,-1,514080,514997,1
255,ybbJ,b0488,145698226,-1,513625,514083,2
256,ybbL,b0490,16128474,1,515143,515820,1
256,ybbM,b0491,90111141,1,515807,516586,2
257,tesA,b0494,16128478,-1,518363,518989,1
257,ybbO,b0493,16128477,-1,517564,518373,2
257,ybbN,b0492,90111142,-1,516649,517503,3
258,ybbA,b0495,16128479,1,518957,519643,1
258,ybbP,b0496,16128480,1,519640,522054,2
259,rhsD,b0497,16128481,1,522485,526765,1
259,ybbC,b0498,16128482,1,526805,527173,2
260,selU,b0503,16128487,-1,529356,530450,1
261,allS,b0504,16128488,-1,530519,531445,1
262,allA,b0505,16128489,1,531675,532157,1
262,allR,b0506,16128490,1,532235,533050,2
262,gcl,b0507,16128491,1,533140,534921,3
262,hyi,b0508,16128492,1,534934,535710,4
262,glxR,b0509,16128493,1,535810,536688,5
263,ybbW,b0511,90111144,1,536857,538311,1
263,allB,b0512,16128496,1,538371,539732,2
263,ybbY,b0513,90111145,1,539789,541090,3
263,glxK,b0514,16128498,1,541112,542257,4
264,allD,b0517,16128501,-1,544538,545587,1
264,allC,b0516,16128500,-1,543281,544516,2
264,ylbA,b0515,16128499,-1,542485,543270,3
265,fdrA,b0518,16128502,1,545904,547571,1
266,ylbF,b0520,16128504,1,548850,549665,1
266,ybcF,b0521,16128505,1,549662,550555,2
267,purE,b0523,16128507,-1,551814,552323,1
267,purK,b0522,16128506,-1,550750,551817,2
268,ppiB,b0525,16128509,-1,553166,553660,1
268,lpxH,b0524,16128508,-1,552441,553163,2
269,cysS,b0526,16128510,1,553834,555219,1
270,ybcI,b0527,16128511,-1,555255,555776,1
271,folD,b0529,16128513,-1,556098,556964,1
271,ybcJ,b0528,90111146,-1,555884,556096,2
272,sfmA,b0530,90111147,1,557435,557977,1
272,sfmC,b0531,16128515,1,558197,558889,2
272,sfmD,b0532,16128516,1,558920,561523,3
272,sfmH,b0533,145698227,1,561559,562542,4
272,sfmF,b0534,16128518,1,562553,563068,5
273,fimZ,b0535,16128519,-1,563071,563703,1
274,argU,b0536,,1,563946,564022,1
275,intD,b0537,16128520,-1,564038,565201,1
276,insE,b0540,226524703,1,566065,566364,1
276,insF,b0541,16128524,1,566361,567227,2
277,emrE,b0543,16128526,1,567538,567870,1
278,ybcK,b0544,16128527,1,568125,569651,1
279,ybcL,b0545,16128528,1,570116,570667,1
279,ybcM,b0546,16128529,1,570677,571474,2
280,quuD,b0551,16128534,1,573179,573562,1
281,insH,b0552,16128535,-1,573960,574976,1
282,essD,b0554,16128537,1,576621,576836,1
282,arrD,b0555,16128538,1,576836,577333,2
282,rzpD,b0556,16128539,1,577330,577791,3
283,borD,b0557,16128540,-1,577823,578116,1
284,ybcV,b0558,90111149,-1,578407,578817,1
285,ybcW,b0559,16128542,1,579103,579309,1
286,nohD,b0560,16128543,1,580057,580602,1
287,appY,b0564,16128547,1,582904,583653,1
288,ompT,b0565,16128548,-1,583903,584856,1
289,envY,b0566,16128549,-1,585370,586131,1
290,nfrB,b0569,16128552,-1,590164,592401,1
290,nfrA,b0568,16128551,-1,587205,590177,2
290,ybcH,b0567,16128550,-1,586314,587204,3
291,cusR,b0571,16128554,-1,593983,594666,1
291,cusS,b0570,16128553,-1,592551,593993,2
292,cusC,b0572,16128555,1,594823,596196,1
292,cusF,b0573,16128556,1,596354,596686,2
292,cusB,b0574,16128557,1,596702,597925,3
292,cusA,b0575,16128558,1,597937,601080,4
293,pheP,b0576,16128559,1,601182,602558,1
294,mscM,b0577,16128560,-1,602639,603886,1
295,nfsB,b0578,16128561,-1,603994,604647,1
296,ybdF,b0579,16128562,-1,604741,605109,1
297,ybdJ,b0580,16128563,-1,605174,605422,1
298,ybdK,b0581,16128564,-1,605488,606606,1
299,insL,b0582,16128565,1,607288,608400,1
300,fepA,b0584,16128567,-1,609477,611717,1
300,entD,b0583,16128566,-1,608682,609311,2
301,fes,b0585,16128568,1,612038,613162,1
301,ybdZ,b4511,94541099,1,613165,613383,2
301,entF,b0586,16128569,1,613380,617261,3
302,fepE,b0587,16128570,1,617477,618610,1
303,fepD,b0590,16128573,-1,620408,621412,1
303,fepG,b0589,16128572,-1,619419,620411,2
303,fepC,b0588,16128571,-1,618607,619422,3
304,entS,b0591,16128574,1,621523,622773,1
305,fepB,b0592,16128575,-1,622777,623733,1
306,entC,b0593,16128576,1,624108,625283,1
306,entE,b0594,16128577,1,625293,626903,2
306,entB,b0595,16128578,1,626917,627774,3
306,entA,b0596,16128579,1,627774,628520,4
306,entH,b0597,16128580,1,628523,628936,5
307,cstA,b0598,16128581,1,629117,631222,1
308,ybdH,b0599,16128582,-1,631612,632700,1
309,ybdL,b0600,16128583,1,632809,633969,1
310,ybdN,b0602,16128585,-1,634572,635792,1
310,ybdM,b0601,16128584,-1,633970,634599,2
311,ybdO,b0603,16128586,-1,635939,636841,1
312,dsbG,b0604,90111151,-1,637050,637796,1
313,ahpC,b0605,16128588,1,638168,638731,1
313,ahpF,b0606,90111152,1,638976,640541,2
314,uspG,b0607,16128590,-1,640662,641090,1
315,ybdR,b0608,16128591,1,641311,642549,1
316,rnk,b0610,16128593,-1,642780,643190,1
317,rna,b0611,16128594,-1,643420,644226,1
318,citC,b0618,90111154,-1,650021,651079,1
318,citD,b0617,16128600,-1,649710,650006,2
318,citE,b0616,90111153,-1,648805,649713,3
318,citF,b0615,16128598,-1,647262,648794,4
318,citX,b0614,16128597,-1,646707,647258,5
318,citG,b0613,16128596,-1,645854,646732,6
318,citT,b0612,16128595,-1,644340,645803,7
319,dpiB,b0619,16128602,1,651458,653116,1
319,dpiA,b0620,16128603,1,653085,653765,2
